18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Abrasive Grain	<font size=5>\nAbrasive Grain\n</font><br>\n磨料颗粒\n
Abrasive Industry	<font size=5>\nAbrasive Industry\n</font><br>\n磨料工业\n
Abrasiveness	<font size=5>\nAbrasiveness\n</font><br>\n磨损性\n
Abrasive Paper	<font size=5>\nAbrasive Paper\n</font><br>\n砂纸\n
Abrasives	<font size=5>\nAbrasives\n</font><br>\n研磨剂\n
Abscisic Acid	<font size=5>\nAbscisic Acid\n</font><br>\n阿伯喂酸\n
Absinthe Oil	<font size=5>\nAbsinthe Oil\n</font><br>\n洋艾油\n
Absolute Activity	<font size=5>\nAbsolute Activity\n</font><br>\n绝对活性度\n
Absolute Alcohol	<font size=5>\nAbsolute Alcohol\n</font><br>\n无水酒精\n
Absolute Calibration	<font size=5>\nAbsolute Calibration\n</font><br>\n绝对校准\n
Absolute Configuration	<font size=5>\nAbsolute Configuration\n</font><br>\n绝对构型\n
Absolute Dry Condition	<font size=5>\nAbsolute Dry Condition\n</font><br>\n绝对干燥状态\n
Absolute Dry Weight	<font size=5>\nAbsolute Dry Weight\n</font><br>\n绝对干重\n
Absolute Error	<font size=5>\nAbsolute Error\n</font><br>\n绝对误差\n
Absolute Humidity	<font size=5>\nAbsolute Humidity\n</font><br>\n绝对湿度\n
Absolute Measurement	<font size=5>\nAbsolute Measurement\n</font><br>\n绝对测量\n
Absolute Reaction Rate	<font size=5>\nAbsolute Reaction Rate\n</font><br>\n绝对反应速度\n
Absolute Sensitivity	<font size=5>\nAbsolute Sensitivity\n</font><br>\n绝对灵敏度\n
Absolute Specific Gravity	<font size=5>\nAbsolute Specific Gravity\n</font><br>\n真比重\n
Absolute Temperature	<font size=5>\nAbsolute Temperature\n</font><br>\n绝对温度\n
Absolute Unit	<font size=5>\nAbsolute Unit\n</font><br>\n绝对单位\n
Absolute Value	<font size=5>\nAbsolute Value\n</font><br>\n绝对值\n
Absolute Viscosity	<font size=5>\nAbsolute Viscosity\n</font><br>\n绝对粘度\n
Absolute Zero	<font size=5>\nAbsolute Zero\n</font><br>\n绝对零度\n
Absorbability	<font size=5>\nAbsorbability\n</font><br>\n吸收性\n
Absorbance	<font size=5>\nAbsorbance\n</font><br>\n吸光度\n
Absorbed Dose	<font size=5>\nAbsorbed Dose\n</font><br>\n吸收线量\n
Absorbent	<font size=5>\nAbsorbent\n</font><br>\n吸收剂\n
Absorbent Paper	<font size=5>\nAbsorbent Paper\n</font><br>\n吸收纸\n
Absorber	<font size=5>\nAbsorber\n</font><br>\n吸收器吸收体\n
Absorbing Power	<font size=5>\nAbsorbing Power\n</font><br>\n吸收能力\n
Absorptiometer	<font size=5>\nAbsorptiometer\n</font><br>\n吸光测定计\n
Absorptiometric Analysis	<font size=5>\nAbsorptiometric Analysis\n</font><br>\n吸光分析\n
Absorptiometry	<font size=5>\nAbsorptiometry\n</font><br>\n吸收分光光度法\n
Absorption	<font size=5>\nAbsorption\n</font><br>\n吸收\n
Absorption Band	<font size=5>\nAbsorption Band\n</font><br>\n吸收带\n
Absorption Cell	<font size=5>\nAbsorption Cell\n</font><br>\n吸收池\n
Absorption Coefficient	<font size=5>\nAbsorption Coefficient\n</font><br>\n吸收系数\n
Absorption Column	<font size=5>\nAbsorption Column\n</font><br>\n吸收塔\n
Absorption Curve	<font size=5>\nAbsorption Curve\n</font><br>\n吸收曲线\n
Absorption Edge	<font size=5>\nAbsorption Edge\n</font><br>\n吸收端\n
Absorption Factor	<font size=5>\nAbsorption Factor\n</font><br>\n吸收因子\n
Absorption Heat	<font size=5>\nAbsorption Heat\n</font><br>\n吸收热\n
Absorption Intensity	<font size=5>\nAbsorption Intensity\n</font><br>\n吸收强度\n
Absorption Line	<font size=5>\nAbsorption Line\n</font><br>\n吸收线\n
Absorption Maximum	<font size=5>\nAbsorption Maximum\n</font><br>\n最大吸收\n
Absorption Method	<font size=5>\nAbsorption Method\n</font><br>\n吸收法\n
Absorption Oil	<font size=5>\nAbsorption Oil\n</font><br>\n吸收油\n
Absorption Pipet	<font size=5>\nAbsorption Pipet\n</font><br>\n吸收管\n
Absorption Refrigerator	<font size=5>\nAbsorption Refrigerator\n</font><br>\n吸收式冷冻器\n
Absorption Spectrophotometry	<font size=5>\nAbsorption Spectrophotometry\n</font><br>\n吸收分光光度法\n
Absorption Spectrum	<font size=5>\nAbsorption Spectrum\n</font><br>\n吸收光谱\n
Absorption Tower	<font size=5>\nAbsorption Tower\n</font><br>\n吸收塔\n
Absorption Tube	<font size=5>\nAbsorption Tube\n</font><br>\n吸收管\n
Absorptive Power	<font size=5>\nAbsorptive Power\n</font><br>\n吸收能力\n
Absorptivity	<font size=5>\nAbsorptivity\n</font><br>\n吸收率\n
Abs Resin	<font size=5>\nAbs Resin\n</font><br>\nAbs\n
Abukumalite	<font size=5>\nAbukumalite\n</font><br>\n钇硅磷灰石\n
Abysmal Deposit	<font size=5>\nAbysmal Deposit\n</font><br>\n深海沉积物\n
Abyssal Deposit	<font size=5>\nAbyssal Deposit\n</font><br>\n深海沉积物\n
Acacia	<font size=5>\nAcacia\n</font><br>\n阿拉伯屎\n
Acaricide	<font size=5>\nAcaricide\n</font><br>\n杀螨剂\n
Acaroid Resin	<font size=5>\nAcaroid Resin\n</font><br>\n禾木尸\n
Accelerant	<font size=5>\nAccelerant\n</font><br>\n促进剂\n
Accelerated Aging	<font size=5>\nAccelerated Aging\n</font><br>\n加速老化\n
Accelerated Aging Test	<font size=5>\nAccelerated Aging Test\n</font><br>\n加速老化试验\n
Accelerated Weathering Test	<font size=5>\nAccelerated Weathering Test\n</font><br>\n加速风化试验\n
Accelerating Agent	<font size=5>\nAccelerating Agent\n</font><br>\n促进剂\n
Acceleration Globulin	<font size=5>\nAcceleration Globulin\n</font><br>\n促凝血球蛋白\n
Acceleration Of Gravity	<font size=5>\nAcceleration Of Gravity\n</font><br>\n重力加速度\n
Accelerator	<font size=5>\nAccelerator\n</font><br>\n促进剂\n
Acceptor	<font size=5>\nAcceptor\n</font><br>\n接受体\n
Accessory Constituent	<font size=5>\nAccessory Constituent\n</font><br>\n副成分\n
Accetyl Value Number	<font size=5>\nAccetyl Value Number\n</font><br>\n乙酰值\n
Accidental Error	<font size=5>\nAccidental Error\n</font><br>\n偶然误差\n
Acclimatization	<font size=5>\nAcclimatization\n</font><br>\n驯化\n
Accommodation	<font size=5>\nAccommodation\n</font><br>\n适应\n
Accommodation Coeffieient	<font size=5>\nAccommodation Coeffieient\n</font><br>\n适应系数\n
Accumulator	<font size=5>\nAccumulator\n</font><br>\n蓄电池\n
Accumulator Acid	<font size=5>\nAccumulator Acid\n</font><br>\n蓄电池酸液\n
Accuracy	<font size=5>\nAccuracy\n</font><br>\n准确度\n
Acenaphthene	<font size=5>\nAcenaphthene\n</font><br>\n威杀灵\n
Acenaphthene Quinone	<font size=5>\nAcenaphthene Quinone\n</font><br>\n苊醌\n
Acenaphthenone	<font size=5>\nAcenaphthenone\n</font><br>\n二氢苊酮\n
Acenaphthylene	<font size=5>\nAcenaphthylene\n</font><br>\n萘嵌戊烯\n
Acenocoumarol	<font size=5>\nAcenocoumarol\n</font><br>\n苊香豆醇\n
Acephate	<font size=5>\nAcephate\n</font><br>\n乙酰甲胺磷\n
Acetal	<font size=5>\nAcetal\n</font><br>\n乙缩醛\n
Acetaldehydase	<font size=5>\nAcetaldehydase\n</font><br>\n乙醛酶\n
Acetaldehyde	<font size=5>\nAcetaldehyde\n</font><br>\n乙醛\n
Acetaldehyde Ammonia	<font size=5>\nAcetaldehyde Ammonia\n</font><br>\n乙醛合氨\n
Acetaldehyde Reductase	<font size=5>\nAcetaldehyde Reductase\n</font><br>\n醇脱氢酶\n
Acetaldol	<font size=5>\nAcetaldol\n</font><br>\n3羟基丁醛\n
Acetaldoxime	<font size=5>\nAcetaldoxime\n</font><br>\n乙醛肟\n
Acetal Phosphatide	<font size=5>\nAcetal Phosphatide\n</font><br>\n缩醛磷脂\n
Acetal Resin	<font size=5>\nAcetal Resin\n</font><br>\n缩醛尸\n
Acetamide	<font size=5>\nAcetamide\n</font><br>\n乙酰胺\n
Acetamidine	<font size=5>\nAcetamidine\n</font><br>\n乙脒\n
Acetanilide	<font size=5>\nAcetanilide\n</font><br>\n乙酰苯胺\n
Acetarsol	<font size=5>\nAcetarsol\n</font><br>\n乙酰胂胺\n
Acetate	<font size=5>\nAcetate\n</font><br>\n醋酸盐\n
Acetate Dye	<font size=5>\nAcetate Dye\n</font><br>\n醋酸染料\n
Acetate Fiber	<font size=5>\nAcetate Fiber\n</font><br>\n醋酸纤维\n
Acetate Film	<font size=5>\nAcetate Film\n</font><br>\n醋酸纤维胶片\n
Acetate Rayon	<font size=5>\nAcetate Rayon\n</font><br>\n醋酸丝\n
Acetazolamide	<font size=5>\nAcetazolamide\n</font><br>\n乙酰唑胺\n
Acetic Acid	<font size=5>\nAcetic Acid\n</font><br>\n醋酸\n
Acetic Acid Fermentation	<font size=5>\nAcetic Acid Fermentation\n</font><br>\n乙酸发酵\n
Acetic Acid Glacial	<font size=5>\nAcetic Acid Glacial\n</font><br>\n冰醋酸\n
Acetic Aldehyde	<font size=5>\nAcetic Aldehyde\n</font><br>\n乙醛\n
Acetic Anhydride	<font size=5>\nAcetic Anhydride\n</font><br>\n醋酐\n
Acetic Bacteria	<font size=5>\nAcetic Bacteria\n</font><br>\n醋酸菌\n
Acetic Ester	<font size=5>\nAcetic Ester\n</font><br>\n醋酸酯\n
Acetification	<font size=5>\nAcetification\n</font><br>\n醋化酌\n
Acetimeter	<font size=5>\nAcetimeter\n</font><br>\n醋酸计\n
Acetine	<font size=5>\nAcetine\n</font><br>\n醋精\n
Acetoacetanilide	<font size=5>\nAcetoacetanilide\n</font><br>\n乙酰乙酰替苯胺\n
Acetoacetate	<font size=5>\nAcetoacetate\n</font><br>\n乙酰醋酸盐\n
Acetoacetic Acid	<font size=5>\nAcetoacetic Acid\n</font><br>\n乙酰醋酸\n
Acetoin	<font size=5>\nAcetoin\n</font><br>\n醋偶姻\n
Acetol	<font size=5>\nAcetol\n</font><br>\n丙酮醇\n
Acetolactic Acid	<font size=5>\nAcetolactic Acid\n</font><br>\n乙酰乳酸\n
Acetolysis	<font size=5>\nAcetolysis\n</font><br>\n乙酸水解\n
Acetomeroctol	<font size=5>\nAcetomeroctol\n</font><br>\n醋汞辛酚\n
Acetometry	<font size=5>\nAcetometry\n</font><br>\n醋酸测定法\n
Acetone	<font size=5>\nAcetone\n</font><br>\n丙酮\n
Acetone Alcohol	<font size=5>\nAcetone Alcohol\n</font><br>\n丙酮醇\n
Acetone Body	<font size=5>\nAcetone Body\n</font><br>\n酮体\n
Acetone Butanol Fermentation	<font size=5>\nAcetone Butanol Fermentation\n</font><br>\n丙酮丁醇发酵\n
Acetone Chloroform	<font size=5>\nAcetone Chloroform\n</font><br>\n三氯叔丁醇\n
Acetone Cyanhydrin	<font size=5>\nAcetone Cyanhydrin\n</font><br>\n丙酮合氰化氢\n
Acetone Dicarboxylic Acid	<font size=5>\nAcetone Dicarboxylic Acid\n</font><br>\n丙酮二羧酸\n
Acetone Fermentation	<font size=5>\nAcetone Fermentation\n</font><br>\n丙酮发酵\n
Acetone Sugar	<font size=5>\nAcetone Sugar\n</font><br>\n丙酮糖\n
Acetonic Acid	<font size=5>\nAcetonic Acid\n</font><br>\n醋酮酸\n
Acetonitrile	<font size=5>\nAcetonitrile\n</font><br>\n乙腈\n
Acetonyl Acetone	<font size=5>\nAcetonyl Acetone\n</font><br>\n丙酮基丙酮\n
Acetophenetidin	<font size=5>\nAcetophenetidin\n</font><br>\nN乙酰乙氧基苯胺 \n
Acetophenone	<font size=5>\nAcetophenone\n</font><br>\n苯乙酮\n
Acetopurpurin	<font size=5>\nAcetopurpurin\n</font><br>\n乙酰替红紫\n
Acetoxime	<font size=5>\nAcetoxime\n</font><br>\n丙酮肟\n
Acetoxylation	<font size=5>\nAcetoxylation\n</font><br>\n乙酸化\n
Acetoxyl Group	<font size=5>\nAcetoxyl Group\n</font><br>\n乙酰氧基\n
Aceturic Acid	<font size=5>\nAceturic Acid\n</font><br>\n乙酰甘氨酸\n
Acetylacetone	<font size=5>\nAcetylacetone\n</font><br>\n乙酰丙酮\n
Acetylase	<font size=5>\nAcetylase\n</font><br>\n乙酰酯酶\n
Acetylating Agent	<font size=5>\nAcetylating Agent\n</font><br>\n乙酰剂\n
Acetylation	<font size=5>\nAcetylation\n</font><br>\n乙酰化\n
Acetylbenzoyl Peroxide	<font size=5>\nAcetylbenzoyl Peroxide\n</font><br>\n乙酰过氧化苯甲酰\n
Acetyl Bromide	<font size=5>\nAcetyl Bromide\n</font><br>\n乙酰溴\n
Acetylcellulose	<font size=5>\nAcetylcellulose\n</font><br>\n乙酰纤维素\n
Acetyl Chloride	<font size=5>\nAcetyl Chloride\n</font><br>\n乙酰氯\n
Acetylcholine	<font size=5>\nAcetylcholine\n</font><br>\n乙酰胆碱\n
Acetylene	<font size=5>\nAcetylene\n</font><br>\n乙炔\n
Acetylene Black	<font size=5>\nAcetylene Black\n</font><br>\n乙炔炭黑\n
Acetylene Burner	<font size=5>\nAcetylene Burner\n</font><br>\n乙炔燃烧器\n
Acetylene Chemistry	<font size=5>\nAcetylene Chemistry\n</font><br>\n乙炔化学\n
Acetylene Chloride	<font size=5>\nAcetylene Chloride\n</font><br>\n乙炔基氯\n
Acetylene Complex	<font size=5>\nAcetylene Complex\n</font><br>\n乙炔络合物\n
Acetylene Generator	<font size=5>\nAcetylene Generator\n</font><br>\n乙炔发生器\n
Acetylene Linkage	<font size=5>\nAcetylene Linkage\n</font><br>\n炔键\n
Acetylene Polymer	<font size=5>\nAcetylene Polymer\n</font><br>\n乙炔聚合物\n
Acetylene Tetrachloride	<font size=5>\nAcetylene Tetrachloride\n</font><br>\n四氯乙炔\n
Acetylene Welding	<font size=5>\nAcetylene Welding\n</font><br>\n气焊\n
Acetylenic Hydrocarbon	<font size=5>\nAcetylenic Hydrocarbon\n</font><br>\n乙炔属烃类\n
Acetyl Hydroperoxide	<font size=5>\nAcetyl Hydroperoxide\n</font><br>\n过乙酸\n
Acetylide	<font size=5>\nAcetylide\n</font><br>\n乙炔化合物\n
Acetyl Iodide	<font size=5>\nAcetyl Iodide\n</font><br>\n碘化乙酰\n
Acetylisoeugenol	<font size=5>\nAcetylisoeugenol\n</font><br>\n乙酰异丁子香酚\n
Acetyl Ketene	<font size=5>\nAcetyl Ketene\n</font><br>\n二酮\n
Acetyl Peroxide	<font size=5>\nAcetyl Peroxide\n</font><br>\n过氧化乙酰\n
Acetylphenylhydrazine	<font size=5>\nAcetylphenylhydrazine\n</font><br>\n乙酰苯肼\n
Acetyl Propionyl	<font size=5>\nAcetyl Propionyl\n</font><br>\n乙酰丙酰\n
Acetylsalicylic Acid	<font size=5>\nAcetylsalicylic Acid\n</font><br>\n乙酰水杨酸\n
Acetylurea	<font size=5>\nAcetylurea\n</font><br>\n乙酰脲\n
Acetyl Value	<font size=5>\nAcetyl Value\n</font><br>\n乙酰值\n
Achirality	<font size=5>\nAchirality\n</font><br>\n非手胀\n
Achroite	<font size=5>\nAchroite\n</font><br>\n无色电气石\n
Achromatic Lens	<font size=5>\nAchromatic Lens\n</font><br>\n消色差透镜\n
Acicular Crystal	<font size=5>\nAcicular Crystal\n</font><br>\n针状结晶\n
Acid	<font size=5>\nAcid\n</font><br>\n酸\n
Acid Acceptor	<font size=5>\nAcid Acceptor\n</font><br>\n受酸体\n
Acid Albumin	<font size=5>\nAcid Albumin\n</font><br>\n酸蛋白\n
Acid Alizarine	<font size=5>\nAcid Alizarine\n</font><br>\n酸性茜素\n
Acid Amide	<font size=5>\nAcid Amide\n</font><br>\n酸胺\n
Acid Ammonium Sulfate	<font size=5>\nAcid Ammonium Sulfate\n</font><br>\n硫酸氢铵\n
Acid Ammonium Tartrate	<font size=5>\nAcid Ammonium Tartrate\n</font><br>\n酒石酸氢铵\n
Acid Anhydride	<font size=5>\nAcid Anhydride\n</font><br>\n酸酐\n
Acid Azid	<font size=5>\nAcid Azid\n</font><br>\n酰基叠\n
Acid Azo Dye	<font size=5>\nAcid Azo Dye\n</font><br>\n酸性偶氮染料\n
Acid Base Catalysis	<font size=5>\nAcid Base Catalysis\n</font><br>\n酸碱催化\n
Acid Base Equilibrium	<font size=5>\nAcid Base Equilibrium\n</font><br>\n酸碱平衡\n
Acid Base Indicator	<font size=5>\nAcid Base Indicator\n</font><br>\n酸碱指示剂\n
Acid Base Pair	<font size=5>\nAcid Base Pair\n</font><br>\n酸碱对\n
Acid Base Titration	<font size=5>\nAcid Base Titration\n</font><br>\n酸碱滴定\n
Acid Bath	<font size=5>\nAcid Bath\n</font><br>\n酸浴\n
Acid Black	<font size=5>\nAcid Black\n</font><br>\n酸性黑\n
Acid Carbonate	<font size=5>\nAcid Carbonate\n</font><br>\n酸性碳酸盐\n
Acid Catalyst	<font size=5>\nAcid Catalyst\n</font><br>\n酸催化剂\n
Acid Chloride	<font size=5>\nAcid Chloride\n</font><br>\n酸性氯化物\n
Acid Content	<font size=5>\nAcid Content\n</font><br>\n含酸量\n
Acid Converter	<font size=5>\nAcid Converter\n</font><br>\n酸性转炉\n
Acid Decomposition	<font size=5>\nAcid Decomposition\n</font><br>\n酸分解\n
Acid Dye	<font size=5>\nAcid Dye\n</font><br>\n酸性染料\n
Acid Egg	<font size=5>\nAcid Egg\n</font><br>\n酸蛋\n
Acid Elevator	<font size=5>\nAcid Elevator\n</font><br>\n酸蛋\n
Acid Error	<font size=5>\nAcid Error\n</font><br>\n酸误差\n
Acid Fermentation	<font size=5>\nAcid Fermentation\n</font><br>\n酸发酵\n
Acid Fixing Bath	<font size=5>\nAcid Fixing Bath\n</font><br>\n酸性定像浴\n
Acid Former	<font size=5>\nAcid Former\n</font><br>\n成酸物质\n
Acid Fuchsin	<font size=5>\nAcid Fuchsin\n</font><br>\n酸性品红\n
Acid Green	<font size=5>\nAcid Green\n</font><br>\n酸性绿\n
Acid Group	<font size=5>\nAcid Group\n</font><br>\n酸根\n
Acid Halide	<font size=5>\nAcid Halide\n</font><br>\n酸性卤化物\n
Acid Hydrolysis	<font size=5>\nAcid Hydrolysis\n</font><br>\n加酸水解酌;酸解\n
Acidic Oil Resin	<font size=5>\nAcidic Oil Resin\n</font><br>\n酸性油尸\n
Acidic Oxide	<font size=5>\nAcidic Oxide\n</font><br>\n酸性氧化物\n
Acidic Reaction	<font size=5>\nAcidic Reaction\n</font><br>\n酸性反应\n
Acidic Titrant	<font size=5>\nAcidic Titrant\n</font><br>\n酸性滴定剂\n
Acidification	<font size=5>\nAcidification\n</font><br>\n酸化\n
Acidimeter	<font size=5>\nAcidimeter\n</font><br>\n酸比重计\n
Acidimetry	<font size=5>\nAcidimetry\n</font><br>\n酸量滴定\n
Acid Iodide	<font size=5>\nAcid Iodide\n</font><br>\n酰基碘\n
Acidity	<font size=5>\nAcidity\n</font><br>\n酸度\n
Acidity Function	<font size=5>\nAcidity Function\n</font><br>\n酸度函数\n
Acid Mordant Dye	<font size=5>\nAcid Mordant Dye\n</font><br>\n酸性媒染料\n
Acid Number	<font size=5>\nAcid Number\n</font><br>\n酸值\n
Acid Of Lemon	<font size=5>\nAcid Of Lemon\n</font><br>\n柠檬酸\n
Acidolysis	<font size=5>\nAcidolysis\n</font><br>\n酸解\n
Acidometer	<font size=5>\nAcidometer\n</font><br>\n酸度计\n
Acidometry	<font size=5>\nAcidometry\n</font><br>\n酸度测定法\n
Acidosis	<font size=5>\nAcidosis\n</font><br>\n酸中毒\n
Acid Pickle	<font size=5>\nAcid Pickle\n</font><br>\n废酸液\n
Acid Pickling	<font size=5>\nAcid Pickling\n</font><br>\n酸浸\n
Acid Potassium Carbonate	<font size=5>\nAcid Potassium Carbonate\n</font><br>\n酸式碳酸钾\n
Acid Potassium Sulfate	<font size=5>\nAcid Potassium Sulfate\n</font><br>\n硫酸氢钾\n
Acid Precipitation	<font size=5>\nAcid Precipitation\n</font><br>\n酸雨\n
Acid Proof Alloy	<font size=5>\nAcid Proof Alloy\n</font><br>\n耐酸合金\n
Acid Proof Brick	<font size=5>\nAcid Proof Brick\n</font><br>\n耐酸砖\n
Acid Proof Enamel	<font size=5>\nAcid Proof Enamel\n</font><br>\n防酸搪瓷\n
Acid Proof Paint	<font size=5>\nAcid Proof Paint\n</font><br>\n耐酸涂料\n
Acid Proof Pump	<font size=5>\nAcid Proof Pump\n</font><br>\n耐酸泵\n
Acid Radical	<font size=5>\nAcid Radical\n</font><br>\n酸基\n
Acid Reaction	<font size=5>\nAcid Reaction\n</font><br>\n酸性反应\n
Acid Recovery Plant	<font size=5>\nAcid Recovery Plant\n</font><br>\n废酸回收设备\n
Acid Refractory	<font size=5>\nAcid Refractory\n</font><br>\n酸性耐火材料\n
Acid Resistance	<font size=5>\nAcid Resistance\n</font><br>\n耐酸性\n
Acid Salt	<font size=5>\nAcid Salt\n</font><br>\n酸性盐\n
Acid Sludge	<font size=5>\nAcid Sludge\n</font><br>\n废酸\n
Acid Sodium Carbonate	<font size=5>\nAcid Sodium Carbonate\n</font><br>\n酸式碳酸钠\n
Acid Solution	<font size=5>\nAcid Solution\n</font><br>\n酸溶液\n
Acid Strength	<font size=5>\nAcid Strength\n</font><br>\n酸强度\n
Acid Sulfate	<font size=5>\nAcid Sulfate\n</font><br>\n硫酸氢盐\n
Acid Treatment	<font size=5>\nAcid Treatment\n</font><br>\n酸处理\n
Acid Value	<font size=5>\nAcid Value\n</font><br>\n酸值\n
Aci Form	<font size=5>\nAci Form\n</font><br>\n针形\n
Acmite	<font size=5>\nAcmite\n</font><br>\n锥辉石\n
Aconic Acid	<font size=5>\nAconic Acid\n</font><br>\n乌头酸\n
Aconitase	<font size=5>\nAconitase\n</font><br>\n乌头酸酶\n
Aconitic Acid	<font size=5>\nAconitic Acid\n</font><br>\n乌头酸\n
Aconitine	<font size=5>\nAconitine\n</font><br>\n乌头碱\n
Acoustical Material	<font size=5>\nAcoustical Material\n</font><br>\n音响材料\n
Acoustochemical	<font size=5>\nAcoustochemical\n</font><br>\n声化学的\n
Acoustochemistry	<font size=5>\nAcoustochemistry\n</font><br>\n声化学\n
Ac Polarography	<font size=5>\nAc Polarography\n</font><br>\n交莲谱法\n
Acrasin	<font size=5>\nAcrasin\n</font><br>\n聚集素\n
Acridine	<font size=5>\nAcridine\n</font><br>\n吖啶\n
Acridine Dye	<font size=5>\nAcridine Dye\n</font><br>\n吖啶染料\n
Acridine Orange	<font size=5>\nAcridine Orange\n</font><br>\n吖啶橙\n
Acridine Yellow	<font size=5>\nAcridine Yellow\n</font><br>\n吖啶黄\n
Acridone	<font size=5>\nAcridone\n</font><br>\n吖啶酮\n
Acriflavine	<font size=5>\nAcriflavine\n</font><br>\n吖啶黄素\n
Acriflavine Hydrochloride	<font size=5>\nAcriflavine Hydrochloride\n</font><br>\n盐酸氮蒽黄\n
Acrinamin	<font size=5>\nAcrinamin\n</font><br>\n奎纳克林\n
Acrolein	<font size=5>\nAcrolein\n</font><br>\n丙烯醛\n
Acrolein Dimer	<font size=5>\nAcrolein Dimer\n</font><br>\n丙烯醛二聚物\n
Acrolein Resin	<font size=5>\nAcrolein Resin\n</font><br>\n丙烯醛尸\n
Acrolein Test	<font size=5>\nAcrolein Test\n</font><br>\n丙烯酸试验\n
Acrosin	<font size=5>\nAcrosin\n</font><br>\n精虫头粒蛋白\n
Acrylaldehyde	<font size=5>\nAcrylaldehyde\n</font><br>\n丙烯醛\n
Acrylamide	<font size=5>\nAcrylamide\n</font><br>\n丙烯酰胺\n
Acrylate	<font size=5>\nAcrylate\n</font><br>\n丙烯酸盐\n
Acrylic Acid	<font size=5>\nAcrylic Acid\n</font><br>\n丙烯酸\n
Acrylic Fiber	<font size=5>\nAcrylic Fiber\n</font><br>\n丙烯酸纤维\n
Acrylic Resin	<font size=5>\nAcrylic Resin\n</font><br>\n丙烯酸尸\n
Acrylic Rubber	<font size=5>\nAcrylic Rubber\n</font><br>\n丙烯酸橡胶\n
Acrylonitrile	<font size=5>\nAcrylonitrile\n</font><br>\n丙烯腈\n
Actin	<font size=5>\nActin\n</font><br>\n肌动蛋白\n
Actinic Rays	<font size=5>\nActinic Rays\n</font><br>\n光化射线\n
Actinide	<font size=5>\nActinide\n</font><br>\n锕类\n
Actinides	<font size=5>\nActinides\n</font><br>\n锕化物\n
Actinism	<font size=5>\nActinism\n</font><br>\n光化度\n
Actinium	<font size=5>\nActinium\n</font><br>\n锕\n
Actinium Series	<font size=5>\nActinium Series\n</font><br>\n锕系\n
Actinochemistry	<font size=5>\nActinochemistry\n</font><br>\n光化学\n
Actinochitin	<font size=5>\nActinochitin\n</font><br>\n辐几丁质\n
Actinolite	<font size=5>\nActinolite\n</font><br>\n阳起石\n
Actinometer	<font size=5>\nActinometer\n</font><br>\n日光辐射计\n
Actinomycin	<font size=5>\nActinomycin\n</font><br>\n放线菌素\n
Actinon	<font size=5>\nActinon\n</font><br>\n锕射气\n
Actinouranium	<font size=5>\nActinouranium\n</font><br>\n锕铀\n
Activated Adsorption	<font size=5>\nActivated Adsorption\n</font><br>\n活性吸附\n
Activated Alumina	<font size=5>\nActivated Alumina\n</font><br>\n活性矾土\n
Activated Atom	<font size=5>\nActivated Atom\n</font><br>\n活化原子\n
Activated Carbon	<font size=5>\nActivated Carbon\n</font><br>\n活性炭\n
